# Vetted palette for faith subjects (islamic, islamic-studies, quran, christian-education).
# Every cover below was VIEWED on 2026-09-20 and is neutral. For these subjects, chapter and lesson images MUST come from this list.
# Format: key | topic | what it shows is implied by the topic; group | source subject
clickview/elementary-civic-values-and-virtues-cover.jpg | Civic Values and Virtues | Civics and Citizenship | Civics and Government
clickview/elementary-community-cover.jpg | Community | Civics and Citizenship | Civics and Government
clickview/elementary-community-engagement-and-care-cover.jpg | Community Engagement and Care | - | Teacher Professional Development
clickview/elementary-cooking-and-food-preparation-cover.jpg | Cooking and Food Preparation | Personal Health | Health
clickview/elementary-dental-health-cover.jpg | Dental Health | Personal Health | Health
clickview/elementary-ethics-and-decision-making-cover.jpg | Ethics and Decision Making | Relationships | Life Skills
clickview/elementary-family-cover.jpg | Family | Relationships | Life Skills
clickview/elementary-farming-and-food-production-cover.jpg | Farming and Food Production | Environmental and Human Interaction | Geography
clickview/elementary-friendship-cover.jpg | Friendship | Relationships | Life Skills
clickview/elementary-habitats-cover.jpg | Habitats | Ecosystems | Life Science
clickview/elementary-healthy-lifestyle-cover.jpg | Healthy Lifestyle | Personal Health | Health
clickview/elementary-international-day-of-awareness-of-food-loss-and-waste-cover.jpg | International Day of Awareness of Food Loss and Waste | Earth's Systems and Resources | Earth and Space Science
clickview/elementary-international-friendship-day-cover.jpg | International Friendship Day | Relationships | Life Skills
clickview/elementary-keeping-clean-and-healthy-cover.jpg | Keeping Clean and Healthy | Personal Health | Health
clickview/elementary-leadership-cover.jpg | Leadership | Classroom Skills | Life Skills
clickview/elementary-map-skills-cover.jpg | Map Skills | Geography Skills | Geography
clickview/elementary-narrative-writing-cover.jpg | Narrative Writing | Text Types | English Language Arts
clickview/elementary-nature-conservation-cover.jpg | Nature Conservation | Environmental and Human Interaction | Geography
clickview/elementary-opinion-writing-cover.jpg | Opinion Writing | Text Types | English Language Arts
clickview/elementary-parts-of-a-story-cover.jpg | Parts of a Story | Writing | English Language Arts
clickview/elementary-plants-cover.jpg | Plants | Animals and Plants | Life Science
clickview/elementary-poetry-cover.jpg | Poetry | Text Types | English Language Arts
clickview/elementary-purpose-and-audience-in-writing-cover.jpg | Purpose and Audience in Writing | Writing | English Language Arts
clickview/elementary-random-acts-of-kindness-day-cover.jpg | Random Acts of Kindness Day | Relationships | Life Skills
clickview/elementary-respectful-relationships-cover.jpg | Respectful Relationships | Relationships | Life Skills
clickview/elementary-seasons-cover.jpg | Seasons | Weather and Climate | Earth and Space Science
clickview/elementary-self-awareness-cover.jpg | Self-Awareness | Relationships | Life Skills
clickview/elementary-settlements-and-migration-cover.jpg | Settlements and Migration | Environmental and Human Interaction | Geography
clickview/elementary-stars-cover.jpg | Stars | Space Systems | Earth and Space Science
clickview/elementary-the-moon-cover.jpg | The Moon | Space Systems | Earth and Space Science
clickview/elementary-the-school-community-cover.jpg | The School Community | Civics and Citizenship | Civics and Government
clickview/elementary-the-water-cycle-cover.jpg | The Water Cycle | Earth's Systems and Resources | Earth and Space Science
clickview/elementary-this-month-in-history-cover.jpg | This Month in History | Historical Thinking Concepts | History
